,日期,規格,雙輪引取,雷射計米,標準過尺機,中途停機次數,備註
,1月8日,VV 22^*3C (絞合未填充,100,100.1,99.73,,
,1月8日,VV 22^*3C (絞合未填充,200,200.2,199.48,,
,1月8日,VV 22^*3C (絞合未填充,300,300.4,299.27,,
,1月8日,VV 22^*3C (絞合未填充,400,400.5,399.03,2,
,1月8日,VV 22^*3C (絞合未填充,500,500.6,498.8,,
,1月8日,VV 22^*3C (絞合未填充,600,600.8,598.54,,
,1月8日,VV 22^*3C (絞合未填充,700,700.9,698.3,2,
,1月8日,VV 22^*3C (絞合未填充,800,800.9,797.99,1,
,1月8日,VV 22^*3C (絞合未填充,900,901,897.67,,
,1月8日,VV 22^*3C (絞合未填充,1000,1001,997.36,1,
,1月8日,VV 22^*3C (絞合未填充,1100,1101.1,1097.04,,
,1月8日,VV 22^*3C (絞合未填充,1200,1201.1,1196.41,,
,1月8日,VV 22^*3C (絞合未填充,1300,1301.2,1296.41,1,
,1月8日,VV 22^*3C (絞合未填充,1400,1401.1,1395.99,,
,1月8日,VV 22^*3C (絞合未填充,1500,1501.1,1495.58,,
,1月8日,VV 22^*3C (絞合未填充,1600,1601,1595.18,,
,1月8日,VV 22^*3C (絞合未填充,1700,1701.1,1695,,
,1月8日,VV 22^*3C (絞合未填充,1800,1801.1,1794.51,,
,1月8日,VV 22^*3C (絞合未填充,1900,1901.2,1894.2,,
,1月8日,VV 22^*3C (絞合未填充,2000,2001.2,1994.92,,
,1月8日,VV 22^*3C (絞合未填充,2100,2101.2,2094.59,,
,1月8日,VV 22^*3C (絞合未填充,2200,2201.3,2193.28,,
,1月8日,VV 22^*3C (絞合未填充,2300,2301.3,2293.98,,
,1月8日,VV 22^*3C (絞合未填充,2400,2401.4,2393.69,,
,1月9日,VV 22^*3C (絞合未填充,2500,2501.4,2492.35,,
,1月9日,VV 22^*3C (絞合未填充,2600,2601.5,2592.03,,
,1月9日,VV 22^*3C (絞合未填充,2700,2701.1,2691.38,,
,1月9日,VV 22^*3C (絞合未填充,2800,2800.9,2791.75,,
,1月9日,VV 22^*3C (絞合未填充,2900,2900.6,2890.17,,
,1月9日,VV 22^*3C (絞合未填充,3000,3000.4,2989.53,,
,1月9日,VV 22^*3C (絞合未填充,3100,3100.1,3089.89,,
,1月9日,VV 22^*3C (絞合未填充,3200,3199.8,3188.29,,
,1月9日,VV 22^*3C (絞合未填充,3300,3299.6,3288.67,,
,1月9日,VV 22^*3C (絞合未填充,3400,3400,3388.73,,
,1月9日,VV 22^*3C (絞合未填充,3500,3500.4,3488.79,,
,1月9日,VV 22^*3C (絞合未填充,3600,3600.8,3588.88,,
,1月9日,VV 22^*3C (絞合未填充,3700,3701.1,3688.89,,
,1月9日,VV 22^*3C (絞合未填充,3800,3801.5,3788.97,,
,1月9日,VV 22^*3C (絞合未填充,3900,3902,3888.07,,
,1月9日,VV 22^*3C (絞合未填充,4000,4002.3,3988.06,,
